9808,21-Oct-18,bay1,2.5,1
9810,21-Oct-18,bay1,2.5,2
9812,21-Oct-18,bay1,2.5,3
9825,21-Oct-18,bay1,5,1
9827,21-Oct-18,bay1,5,2
9829,21-Oct-18,bay1,5,3
9831,21-Oct-18,bay1,5,4
9801,21-Oct-18,bay2,2,1
9803,21-Oct-18,bay2,2,2
9805,21-Oct-18,bay2,2,3
9834,21-Oct-18,bay2,5,1
9836,21-Oct-18,bay2,5,2
9838,21-Oct-18,bay2,5,3
9816,21-Oct-18,bay3,2,1
9818,21-Oct-18,bay3,2,2
9820,21-Oct-18,bay3,2,3
9841,21-Oct-18,bay3,4,1
9843,21-Oct-18,bay3,4,2
9845,21-Oct-18,bay3,4,3
9854,21-Oct-18,horn1,7,1
9856,21-Oct-18,horn1,7,2
9858,21-Oct-18,horn1,7,3
9860,21-Oct-18,horn1,7,4
9862,21-Oct-18,horn1,7,5
9879,21-Oct-18,horn1,12,1
9881,21-Oct-18,horn1,12,2
9883,21-Oct-18,horn1,12,3
9885,21-Oct-18,horn1,12,4
9887,21-Oct-18,horn1,12,5
9930,21-Oct-18,horn1,2,1
9932,21-Oct-18,horn1,2,2
9934,21-Oct-18,horn1,2,3
8,21-Oct-18,horn2,5,1
10,21-Oct-18,horn2,5,2
12,21-Oct-18,horn2,5,3
9901,21-Oct-18,horn2,16,1
9903,21-Oct-18,horn2,16,2
9905,21-Oct-18,horn2,16,3
9937,21-Oct-18,horn2,11,1
9939,21-Oct-18,horn2,11,2
9941,21-Oct-18,horn2,11,3
1,21-Oct-18,horn3,4,1
3,21-Oct-18,horn3,4,2
5,21-Oct-18,horn3,4,3
16,21-Oct-18,horn3,13,1
18,21-Oct-18,horn3,13,2
20,21-Oct-18,horn3,13,3
9781,21-Oct-18,horn3,23,1
9783,21-Oct-18,horn3,23,2
9785,21-Oct-18,horn3,23,3
9787,21-Oct-18,horn3,23,4
9789,21-Oct-18,horn3,23,5
9793,21-Oct-18,horn3,18,1
9795,21-Oct-18,horn3,18,2
9797,21-Oct-18,horn3,18,3
9907,25-Oct-18,bay1,2,1
9909,25-Oct-18,bay1,2,2
9911,25-Oct-18,bay1,2,3
9922,25-Oct-18,bay1,6,1
9924,25-Oct-18,bay1,6,2
9926,25-Oct-18,bay1,6,3
9928,25-Oct-18,bay1,6,4
9865,25-Oct-18,bay2,6,1
9867,25-Oct-18,bay2,6,2
9869,25-Oct-18,bay2,6,3
9871,25-Oct-18,bay2,6,4
9873,25-Oct-18,bay2,6,5
9875,25-Oct-18,bay2,6,6
9915,25-Oct-18,bay2,2,1
9917,25-Oct-18,bay2,2,2
9919,25-Oct-18,bay2,2,3
9889,25-Oct-18,horn1,7,1
9891,25-Oct-18,horn1,7,2
9893,25-Oct-18,horn1,7,3
9895,25-Oct-18,horn1,7,4
9897,25-Oct-18,horn1,7,5
9945,25-Oct-18,horn1,4,1
9947,25-Oct-18,horn1,4,2
9949,25-Oct-18,horn1,4,3
22,25-Oct-18,horn2,8,1
24,25-Oct-18,horn2,8,2
26,25-Oct-18,horn2,8,3
28,25-Oct-18,horn2,8,4
30,25-Oct-18,horn2,8,5
9848,25-Oct-18,horn2,4,1
9850,25-Oct-18,horn2,4,2
9852,25-Oct-18,horn2,4,3
