201,21-Oct-18,bay1,2.5,1
203,21-Oct-18,bay1,2.5,2
205,21-Oct-18,bay1,2.5,3
144,21-Oct-18,bay1,5,1
146,21-Oct-18,bay1,5,2
148,21-Oct-18,bay1,5,3
,,,,
152,21-Oct-18,bay2,2,1
154,21-Oct-18,bay2,2,2
156,21-Oct-18,bay2,2,3
64,21-Oct-18,bay2,5,1
66,21-Oct-18,bay2,5,2
68,21-Oct-18,bay2,5,3
114,21-Oct-18,bay3,2,1
116,21-Oct-18,bay3,2,2
118,21-Oct-18,bay3,2,3
71,21-Oct-18,bay3,4,1
73,21-Oct-18,bay3,4,2
75,21-Oct-18,bay3,4,3
50,21-Oct-18,horn1,7,1
52,21-Oct-18,horn1,7,2
54,21-Oct-18,horn1,7,3
,,,,
,,,,
93,21-Oct-18,horn1,12,1
95,21-Oct-18,horn1,12,2
97,21-Oct-18,horn1,12,3
,,,,
,,,,
127,21-Oct-18,horn1,2,1
129,21-Oct-18,horn1,2,2
132,21-Oct-18,horn1,2,3
173,21-Oct-18,horn2,5,1
175,21-Oct-18,horn2,5,2
177,21-Oct-18,horn2,5,3
57,21-Oct-18,horn2,16,1
59,21-Oct-18,horn2,16,2
61,21-Oct-18,horn2,16,3
179,21-Oct-18,horn2,11,1
181,21-Oct-18,horn2,11,2
183,21-Oct-18,horn2,11,3
158,21-Oct-18,horn3,4,1
160,21-Oct-18,horn3,4,2
162,21-Oct-18,horn3,4,3
187,21-Oct-18,horn3,13,1
189,21-Oct-18,horn3,13,2
191,21-Oct-18,horn3,13,3
121,21-Oct-18,horn3,23,1
123,21-Oct-18,horn3,23,2
125,21-Oct-18,horn3,23,3
,,,,
,,,,
106,21-Oct-18,horn3,18,1
108,21-Oct-18,horn3,18,2
110,21-Oct-18,horn3,18,3
138,25-Oct-18,bay1,2,1
140,25-Oct-18,bay1,2,2
142,25-Oct-18,bay1,2,3
99,25-Oct-18,bay1,6,1
101,25-Oct-18,bay1,6,2
103,25-Oct-18,bay1,6,3
,,,,
34,25-Oct-18,bay2,6,1
36,25-Oct-18,bay2,6,2
38,25-Oct-18,bay2,6,3
,,,,
,,,,
,,,,
86,25-Oct-18,bay2,2,1
88,25-Oct-18,bay2,2,2
90,25-Oct-18,bay2,2,3
43,25-Oct-18,horn1,7,1
45,25-Oct-18,horn1,7,2
47,25-Oct-18,horn1,7,3
,,,,
,,,,
194,25-Oct-18,horn1,4,1
196,25-Oct-18,horn1,4,2
198,25-Oct-18,horn1,4,3
166,25-Oct-18,horn2,8,1
168,25-Oct-18,horn2,8,2
170,25-Oct-18,horn2,8,3
,,,,
,,,,
78,25-Oct-18,horn2,4,1
80,25-Oct-18,horn2,4,2
82,25-Oct-18,horn2,4,3
